VBELN;POSNR;FKART;FKDAT;VKORG;SPART;KUNAG;WAERK;BUKRS;VBTYP;RFBSK;FKSTO;SFAKN;ERDAT;MATNR;ARKTX;FKIMG;NETWR;MWSBP;WERKS;MATKL;PSTYV;AUBEL;CHARG;SELLER_ID;SELLER_NOMBRE;SELLER_APELLIDO;SELLER_RUT;SELLER_EMAIL
0096354418;000010;ZZBN;20240506;1000;N1;998-9;CLP;1000;M;C;;;20240506;000000000000822443;SMF 55565 55AH 480CCA;1.000;600.00;0.00;1PA1;0019;ZTAN;0004427564;2335003703;;;;;
0096374623;000010;ZZBN;20240520;1000;N1;998-9;CLP;1000;M;C;;;20240520;000000000000822443;SMF 55565 55AH 480CCA;1.000;600.00;0.00;1PA1;0019;ZTAN;0004441412;2335003703;;;;;
0096374772;000010;ZZBN;20240520;1000;N1;998-9;CLP;1000;M;C;;;20240520;000000000000908232;185/60 R 14 SW608 82H TL;1.000;600.00;0.00;1PA1;0016;ZTAN;0004441580;2301195415;;;;;
0096374772;000020;ZZBN;20240520;1000;N1;998-9;CLP;1000;M;C;;;20240520;000000000000908232;185/60 R 14 SW608 82H TL;1.000;600.00;0.00;1PA1;0016;ZTAN;0004441580;2301728109;;;;;
0096374798;000010;ZZBN;20240520;1000;N1;998-9;CLP;1000;M;C;;;20240520;000000000000908232;185/60 R 14 SW608 82H TL;1.000;600.00;0.00;1PA1;0016;ZTAN;0004441565;2301728109;;;;;
0096374798;000020;ZZBN;20240520;1000;N1;998-9;CLP;1000;M;C;;;20240520;000000000000908232;185/60 R 14 SW608 82H TL;1.000;600.00;0.00;1PA1;0016;ZTAN;0004441565;2301728109;;;;;
0096381170;000010;ZZAM;20240524;1000;N1;888-5;CLP;1000;M;C;;;20240524;000000000000754790;SMF 56219 62AH 550CCA;1.000;600.00;0.00;1PA1;0019;ZTAN;0004446115;2409612305;;;;;
0096421914;000010;ZZBN;20240621;1000;N1;998-9;CLP;1000;M;C;;;20240621;000000000000925020;175/65 R 14 SW608 82H TL;1.000;600.00;0.00;1PA1;0016;ZTAN;0004472883;2401430604;;;;;
0096422211;000010;ZZBN;20240621;1000;N1;998-9;CLP;1000;M;C;;;20240621;000000000000925020;175/65 R 14 SW608 82H TL;1.000;600.00;0.00;1PA1;0016;ZTAN;0004473005;2401430604;;;;;
0096424527;000010;ZZBN;20240625;1000;N1;998-9;CLP;1000;M;C;;;20240625;000000000000923748;175/70 R 14 SW608 84T TL;1.000;600.00;0.00;1PA1;0016;ZTAN;0004474522;2302074409;;;;;
0096187533;000010;ZZBN;20240120;1000;N1;998-9;CLP;1000;M;C;;;20240120;000000000000113438;SMF 55559 55AH 480CCA;1.000;600.00;0.00;1PA1;0019;ZTAN;0004319382;2338000002;;;;;
0096207671;000010;ZZBN;20240131;1000;N1;998-9;CLP;1000;M;C;;;20240131;000000000000113438;SMF 55559 55AH 480CCA;1.000;600.00;0.00;1PA1;0019;ZTAN;0004331462;2338000002;;;;;
0096233247;000010;ZZBN;20240219;1000;N1;998-9;CLP;1000;M;C;;;20240219;000000000000822443;SMF 55565 55AH 480CCA;1.000;600.00;0.00;1PA1;0019;ZTAN;0004349572;2335003703;;;;;
0096252000;000010;ZZBN;20240229;1000;N1;998-9;CLP;1000;M;C;;;20240229;000000000000113438;SMF 55559 55AH 480CCA;1.000;600.00;0.00;1PA1;0019;ZTAN;0004360609;2338000002;;;;;
0096259022;000010;ZZBN;20240305;1000;N1;998-9;CLP;1000;M;C;;;20240305;000000000000113438;SMF 55559 55AH 480CCA;1.000;600.00;0.00;1PA1;0019;ZTAN;0004365049;2338000002;;;;;
0096261049;000010;ZZBN;20240306;1000;N1;998-9;CLP;1000;M;C;;;20240306;000000000000113438;SMF 55559 55AH 480CCA;1.000;600.00;0.00;1PA1;0019;ZTAN;0004366280;2338000002;;;;;
0096274295;000010;ZZBN;20240315;1000;N1;998-9;CLP;1000;M;C;;;20240315;000000000000113438;SMF 55559 55AH 480CCA;1.000;600.00;0.00;1PA1;0019;ZTAN;0004375983;2302040302;;;;;
0096313341;000010;ZZBN;20240409;1000;N1;998-9;CLP;1000;M;C;;;20240409;000000000000113438;SMF 55559 55AH 480CCA;1.000;600.00;0.00;1PA1;0019;ZTAN;0004400686;2302040302;;;;;
0096319969;000010;ZZBN;20240413;1000;N1;998-9;CLP;1000;M;C;;;20240413;000000000000113438;SMF 55559 55AH 480CCA;1.000;600.00;0.00;1PA1;0019;ZTAN;0004405402;2302040302;;;;;
0096330181;000010;ZZBN;20240422;1000;N1;998-9;CLP;1000;M;C;;;20240422;000000000000113438;SMF 55559 55AH 480CCA;1.000;600.00;0.00;1PA1;0019;ZTAN;0004412307;2302040302;;;;;
0096332708;000010;ZZBN;20240423;1000;N1;998-9;CLP;1000;M;C;;;20240423;000000000000113438;SMF 55559 55AH 480CCA;1.000;600.00;0.00;1PA1;0019;ZTAN;0004414274;2302040302;;;;;
0096333584;000010;ZZBN;20240423;1000;N1;998-9;CLP;1000;M;C;;;20240423;000000000000113438;SMF 55559 55AH 480CCA;1.000;600.00;0.00;1PA1;0019;ZTAN;0004414902;2409612304;;;;;
0096380523;000010;ZZBN;20240524;1000;N1;998-9;CLP;1000;M;C;;;20240524;000000000000113438;SMF 55559 55AH 480CCA;1.000;600.00;0.00;1PA1;0019;ZTAN;0004445705;2409612304;;;;;
0096386343;000010;ZZBN;20240529;1000;N1;998-9;CLP;1000;M;C;;;20240529;000000000000113438;SMF 55559 55AH 480CCA;1.000;600.00;0.00;1PA1;0019;ZTAN;0004449302;2409612304;;;;;
0096407200;000010;ZZBN;20240610;1000;N1;998-9;CLP;1000;M;C;;;20240610;000000000000113438;SMF 55559 55AH 480CCA;1.000;600.00;0.00;1PA1;0019;ZTAN;0004462777;2409612304;;;;;
0096431337;000010;ZZAM;20240627;1000;N1;888-5;CLP;1000;M;C;;;20240627;000000000000113438;SMF 55559 55AH 480CCA;1.000;600.00;0.00;1PA1;0019;ZTAN;0004478454;2409612304;;;;;
0096435896;000010;ZZBN;20240628;1000;N1;998-9;CLP;1000;M;C;;;20240628;000000000000113438;SMF 55559 55AH 480CCA;1.000;600.00;0.00;1PA1;0019;ZTAN;0004480417;2409612304;;;;;
0096192100;000010;ZZAM;20240123;1000;N1;13527394-5;CLP;1000;M;C;;;20240123;000000000000959945;155 R 13C 6PR SW612 85/83Q TL;2.000;1000.00;0.00;1PA1;0016;ZTAN;0004322439;2200209704;;;;;
0096225722;000010;ZZBN;20240213;1000;N1;998-9;CLP;1000;M;C;;;20240213;000000000000822920;235/55 R 18 SU318 100V TL;1.000;1000.00;0.00;1PA1;0016;ZTAN;0004344341;2300118425;;;;;
0096375418;000010;ZZBN;20240522;1000;N1;888-5;CLP;1000;M;C;;;20240522;000000000000925020;175/65 R 14 SW608 82H TL;2.000;1000.00;0.00;1PA1;0016;ZTAN;0004441896;2301448706;;;;;
0096375566;000010;ZZAM;20240522;1000;N1;888-5;CLP;1000;M;C;;;20240522;000000000000967635;195/55 R 15 SW608 89H XL TL;2.000;1200.00;0.00;1PA1;0016;ZTAN;0004442094;2302074416;;;;;
0096376272;000010;ZZBN;20240522;1000;N1;998-9;CLP;1000;M;C;;;20240522;000000000000717635;215/75 R 17.5 CR976A 16PR TL;1.000;1000.00;0.00;1PA1;0016;ZTAN;0004442662;2300894334;;;;;
0096420303;000010;ZZAM;20240619;1000;N1;77060494-K;CLP;1000;M;C;;;20240619;000000000000827153;SMF 31-850 100AH 830CCA (BORNE);1.000;1200.00;0.00;1PA1;0019;ZTAN;0004471748;2300736603;;;;;
0096423671;000010;ZZBN;20240624;1000;N1;998-9;CLP;1000;M;C;;;20240624;000000000000925020;175/65 R 14 SW608 82H TL;2.000;1200.00;0.00;1PA1;0016;ZTAN;0004473951;2401430604;;;;;
0096188697;000010;ZZBN;20240122;1000;N1;998-9;CLP;1000;M;C;;;20240122;000000000000883814;185/55 R 15 SW618 82T TL;2.000;1200.00;0.00;1PA1;0016;ZTAN;0004320045;2301728108;;;;;
0096211847;000010;ZZBN;20240202;1000;N1;998-9;CLP;1000;M;C;;;20240202;000000000000850204;255/60 R 18 SU318 112V TL;1.000;1200.00;0.00;1PA1;0016;ZTAN;0004333926;2400115830;;;;;
0096255052;000010;ZZBN;20240301;1000;N1;998-9;CLP;1000;M;C;;;20240301;000000000000964988;175/65 R 14 Z-108 82H TL;3.000;1200.00;0.00;1PA1;0016;ZTAN;0004362067;2301195409;;;;;
0096274175;000010;ZZBN;20240315;1000;N1;888-5;CLP;1000;M;C;;;20240315;000000000000974485;215/60 R 17 Z-401 96H TL;2.000;1200.00;0.00;1PA1;0016;ZTAN;0004375887;2400115823;;;;;
0096347162;000010;ZZBN;20240430;1000;N1;998-9;CLP;1000;M;C;;;20240430;000000000000959962;235/55 R 19 SW618 105H TL;1.000;1200.00;0.00;1PA1;0016;ZTAN;0004422627;2302074430;;;;;
0096347179;000010;ZZBN;20240430;1000;N1;998-9;CLP;1000;M;C;;;20240430;000000000000959962;235/55 R 19 SW618 105H TL;1.000;1200.00;0.00;1PA1;0016;ZTAN;0004422641;2302074430;;;;;
0096372268;000010;ZZBN;20240517;1000;N1;998-9;CLP;1000;M;C;;;20240517;000000000000827153;SMF 31-850 100AH 830CCA (BORNE);1.000;1200.00;0.00;1PA1;0019;ZTAN;0004439715;2300592402;;;;;
0096383516;000010;ZZBN;20240527;1000;N1;998-9;CLP;1000;M;C;;;20240527;000000000000908232;185/60 R 14 SW608 82H TL;2.000;1200.00;0.00;1PA1;0016;ZTAN;0004447698;2301728109;;;;;
0096401899;000010;ZZBN;20240606;1000;N1;998-9;CLP;1000;M;C;;;20240606;000000000000827153;SMF 31-850 100AH 830CCA (BORNE);1.000;1200.00;0.00;1PA1;0019;ZTAN;0004458757;2300592402;;;;;
0096408620;000010;ZZBN;20240611;1000;N1;998-9;CLP;1000;M;C;;;20240611;000000000000908232;185/60 R 14 SW608 82H TL;2.000;1200.00;0.00;1PA1;0016;ZTAN;0004463802;2301728109;;;;;
0096414769;000010;ZZBN;20240617;1000;N1;998-9;CLP;1000;M;C;;;20240617;000000000000908232;185/60 R 14 SW608 82H TL;2.000;1200.00;0.00;1PA1;0016;ZTAN;0004468094;2301728109;;;;;
0096415802;000010;ZZBN;20240617;1000;N1;998-9;CLP;1000;M;C;;;20240617;000000000000951348;185/55 R 15 TRAZANO SW618 82T TL;2.000;1200.00;0.00;1PA1;0016;ZTAN;0004468774;2400446207;;;;;
0096416076;000010;ZZBN;20240617;1000;N1;998-9;CLP;1000;M;C;;;20240617;000000000000974482;205/55 R 16 Z-401 94V XL TL;2.000;1200.00;0.00;1PA1;0016;ZTAN;0004469017;2401362811;;;;;
0096422161;000010;ZZBN;20240621;1000;N1;998-9;CLP;1000;M;C;;;20240621;000000000000925020;175/65 R 14 SW608 82H TL;2.000;1200.00;0.00;1PA1;0016;ZTAN;0004472995;2401430604;;;;;
0096160364;000010;ZZAM;20240102;1000;N1;76147812-5;CLP;1000;M;C;;;20240102;000000000000965005;185/65 R 15 Z-108 88H TL;2.000;800.00;0.00;1PA1;0016;ZTAN;0004299492;2301195307;;;;;
0096162207;000010;ZZBN;20240103;1000;N1;998-9;CLP;1000;M;C;;;20240103;000000000000964988;175/65 R 14 Z-108 82H TL;2.000;800.00;0.00;1PA1;0016;ZTAN;0004301046;2300894311;;;;;
0096176798;000010;ZZBN;20240113;1000;N1;998-9;CLP;1000;M;C;;;20240113;000000000000964988;175/65 R 14 Z-108 82H TL;2.000;800.00;0.00;1PA1;0016;ZTAN;0004311980;2301195409;;;;;
0096187536;000010;ZZBN;20240120;1000;N1;998-9;CLP;1000;M;C;;;20240120;000000000000964988;175/65 R 14 Z-108 82H TL;2.000;800.00;0.00;1PA1;0016;ZTAN;0004319380;2301195409;;;;;
0096201248;000010;ZZBN;20240129;1000;N1;998-9;CLP;1000;M;C;;;20240129;000000000000964988;175/65 R 14 Z-108 82H TL;2.000;800.00;0.00;1PA1;0016;ZTAN;0004328342;2301195409;;;;;
0096208232;000010;ZZBN;20240131;1000;N1;998-9;CLP;1000;M;C;;;20240131;000000000000839102;225/50 R 17 SA37 98W XL TL;1.000;800.00;0.00;1PA1;0016;ZTAN;0004331763;2300309923;;;;;
0096221619;000010;ZZBN;20240209;1000;N1;998-9;CLP;1000;M;C;;;20240209;000000000000964988;175/65 R 14 Z-108 82H TL;2.000;800.00;0.00;1PA1;0016;ZTAN;0004341346;2301195409;;;;;
0096229818;000010;ZZBN;20240215;1000;N1;998-9;CLP;1000;M;C;;;20240215;000000000000964988;175/65 R 14 Z-108 82H TL;2.000;800.00;0.00;1PA1;0016;ZTAN;0004347100;2301195409;;;;;
0096288117;000010;ZZBN;20240325;1000;N1;998-9;CLP;1000;M;C;;;20240325;000000000000964988;175/65 R 14 Z-108 82H TL;2.000;800.00;0.00;1PA1;0016;ZTAN;0004385621;2301195409;;;;;
0096302528;000010;ZZBN;20240402;1000;N1;998-9;CLP;1000;M;C;;;20240402;000000000000964988;175/65 R 14 Z-108 82H TL;2.000;800.00;0.00;1PA1;0016;ZTAN;0004393519;2301195409;;;;;
0096347674;000010;ZZBN;20240430;1000;N1;998-9;CLP;1000;M;C;;;20240430;000000000000742596;195/70 R 15 C 8PR SC301 TL;1.000;800.00;0.00;1PA1;0016;ZTAN;0004422927;2000338016;;;;;
0096361874;000010;ZZBN;20240510;1000;N1;998-9;CLP;1000;M;C;;;20240510;000000000000965004;185/65 R 14 Z-108 86H TL;2.000;800.00;0.00;1PA1;0016;ZTAN;0004432913;2301195306;;;;;
0096370204;000010;ZZBN;20240516;1000;N1;888-5;CLP;1000;M;C;;;20240516;000000000000852187;SMF 65-750 80AH 750CCA;1.000;800.00;0.00;1PA1;0019;ZTAN;0004438503;2302040301;;;;;
0096198838;000010;ZZBN;20240127;1000;N1;998-9;CLP;1000;M;C;;;20240127;000000000000964988;175/65 R 14 Z-108 82H TL;2.000;800.00;0.00;1PA1;0016;ZTAN;0004326900;2301195409;;;;;
0096202899;000010;ZZBN;20240130;1000;N1;998-9;CLP;1000;M;C;;;20240130;000000000000964988;175/65 R 14 Z-108 82H TL;2.000;800.00;0.00;1PA1;0016;ZTAN;0004329285;2301195409;;;;;
0096211721;000010;ZZBN;20240202;1000;N1;998-9;CLP;1000;M;C;;;20240202;000000000000964988;175/65 R 14 Z-108 82H TL;2.000;800.00;0.00;1PA1;0016;ZTAN;0004333824;2301195409;;;;;
0096215674;000010;ZZBN;20240206;1000;N1;998-9;CLP;1000;M;C;;;20240206;000000000000964988;175/65 R 14 Z-108 82H TL;2.000;800.00;0.00;1PA1;0016;ZTAN;0004336892;2301195409;;;;;
0096215988;000010;ZZBN;20240206;1000;N1;998-9;CLP;1000;M;C;;;20240206;000000000000965004;185/65 R 14 Z-108 86H TL;2.000;800.00;0.00;1PA1;0016;ZTAN;0004337016;2301195306;;;;;
0096223937;000010;ZZBN;20240212;1000;N1;998-9;CLP;1000;M;C;;;20240212;000000000000964988;175/65 R 14 Z-108 82H TL;2.000;800.00;0.00;1PA1;0016;ZTAN;0004342888;2301195409;;;;;
0096228560;000010;ZZBN;20240215;1000;N1;998-9;CLP;1000;M;C;;;20240215;000000000000964988;175/65 R 14 Z-108 82H TL;2.000;800.00;0.00;1PA1;0016;ZTAN;0004346256;2301195409;;;;;
0096231726;000010;ZZBN;20240217;1000;N1;998-9;CLP;1000;M;C;;;20240217;000000000000964988;175/65 R 14 Z-108 82H TL;2.000;800.00;0.00;1PA1;0016;ZTAN;0004348404;2301195409;;;;;
0096237133;000010;ZZBN;20240221;1000;N1;998-9;CLP;1000;M;C;;;20240221;000000000000964988;175/65 R 14 Z-108 82H TL;2.000;800.00;0.00;1PA1;0016;ZTAN;0004351796;2301195409;;;;;
0096257281;000010;ZZBN;20240304;1000;N1;998-9;CLP;1000;M;C;;;20240304;000000000000964988;175/65 R 14 Z-108 82H TL;2.000;800.00;0.00;1PA1;0016;ZTAN;0004363553;2301195409;;;;;
0096266643;000010;ZZBN;20240311;1000;N1;998-9;CLP;1000;M;C;;;20240311;000000000000964988;175/65 R 14 Z-108 82H TL;2.000;800.00;0.00;1PA1;0016;ZTAN;0004370313;2301195409;;;;;
0096271755;000010;ZZBN;20240313;1000;N1;998-9;CLP;1000;M;C;;;20240313;000000000000964988;175/65 R 14 Z-108 82H TL;2.000;800.00;0.00;1PA1;0016;ZTAN;0004374172;2301195409;;;;;
0096271757;000010;ZZBN;20240313;1000;N1;998-9;CLP;1000;M;C;;;20240313;000000000000964988;175/65 R 14 Z-108 82H TL;2.000;800.00;0.00;1PA1;0016;ZTAN;0004374178;2301195409;;;;;
0096286169;000010;ZZBN;20240323;1000;N1;998-9;CLP;1000;M;C;;;20240323;000000000000964988;175/65 R 14 Z-108 82H TL;2.000;800.00;0.00;1PA1;0016;ZTAN;0004384270;2301195409;;;;;
0096317026;000010;ZZBN;20240411;1000;N1;998-9;CLP;1000;M;C;;;20240411;000000000000964990;175/70 R 14 Z-108 84T TL;2.000;800.00;0.00;1PA1;0016;ZTAN;0004403335;2301195412;;;;;
0096330146;000010;ZZBN;20240422;1000;N1;998-9;CLP;1000;M;C;;;20240422;000000000000947753;225/45 R 17 SA37 94Y TL;1.000;800.00;0.00;1PA1;0016;ZTAN;0004412120;2400639619;;;;;
0096330149;000010;ZZBN;20240422;1000;N1;998-9;CLP;1000;M;C;;;20240422;000000000000947753;225/45 R 17 SA37 94Y TL;1.000;800.00;0.00;1PA1;0016;ZTAN;0004411955;2400639619;;;;;
0096350691;000010;ZZBN;20240502;1000;N1;998-9;CLP;1000;M;C;;;20240502;000000000000964990;175/70 R 14 Z-108 84T TL;2.000;800.00;0.00;1PA1;0016;ZTAN;0004424854;2301195412;;;;;
0096359961;000010;ZZBN;20240509;1000;N1;998-9;CLP;1000;M;C;;;20240509;000000000000964990;175/70 R 14 Z-108 84T TL;2.000;800.00;0.00;1PA1;0016;ZTAN;0004431636;2301195412;;;;;
0096371316;000010;ZZBN;20240517;1000;N1;998-9;CLP;1000;M;C;;;20240517;000000000000964990;175/70 R 14 Z-108 84T TL;2.000;800.00;0.00;1PA1;0016;ZTAN;0004439010;2301195412;;;;;
0096362446;000010;ZZBN;20240513;1000;N1;998-9;CLP;1000;M;C;;;20240513;000000000000964870;195/55 R 15 Z-108 85V TL;1.000;500.00;0.00;1PA1;0016;ZTAN;0004433356;2400958209;;;;;
0096403107;000010;ZZBN;20240606;1000;N1;998-9;CLP;1000;M;C;;;20240606;000000000000965093;185/55 R 16 Z-108 83V TL;1.000;500.00;0.00;1PA1;0016;ZTAN;0004459696;2400958204;;;;;
0096417995;000010;ZZBN;20240618;1000;N1;998-9;CLP;1000;M;C;;;20240618;000000000000965093;185/55 R 16 Z-108 83V TL;1.000;500.00;0.00;1PA1;0016;ZTAN;0004470089;2400958204;;;;;
0096160509;000010;ZZBN;20240102;1000;N1;998-9;CLP;1000;M;C;;;20240102;000000000000871704;205/55 R 16 SA57 94W TL;2.000;1400.00;0.00;1PA1;0016;ZTAN;0004299082;2301654216;;;;;
0096167518;000010;ZZBN;20240108;1000;N1;998-9;CLP;1000;M;C;;;20240108;000000000000965020;215/65 R 16 Z-108 98V TL;2.000;1400.00;0.00;1PA1;0016;ZTAN;0004304973;2301654220;;;;;
0096173243;000010;ZZAM;20240111;1000;N1;77803799-8;CLP;1000;M;C;;;20240111;000000000000853772;185 R 14C H188 8PR TL;2.000;1400.00;0.00;1PA1;0016;ZTAN;0004309403;2300997516;;;;;
0096220318;000010;ZZAM;20240208;1000;N1;21015077-3;CLP;1000;M;C;;;20240208;000000000000947752;215/45 R 17 SA37 91Y XL TL;2.000;1400.00;0.00;1PA1;0016;ZTAN;0004340441;2400115821;;;;;
0096256318;000010;ZZBN;20240301;1000;N1;998-9;CLP;1000;M;C;;;20240301;000000000000850194;205/45 R 17 SA37 88Y;2.000;1400.00;0.00;1PA1;0016;ZTAN;0004362923;2301728115;;;;;
0096256519;000010;ZZBN;20240302;1000;N1;888-5;CLP;1000;M;C;;;20240302;000000000000964988;175/65 R 14 Z-108 82H TL;4.000;1400.00;0.00;1PA1;0016;ZTAN;0004363108;2301195409;;;;;
0096261136;000010;ZZBN;20240306;1000;N1;998-9;CLP;1000;M;C;;;20240306;000000000000883826;185 R 14 SW612 8PR TL;2.000;1400.00;0.00;1PA1;0016;ZTAN;0004366317;2300894320;;;;;
0096285200;000010;ZZBN;20240322;1000;N1;998-9;CLP;1000;M;C;;;20240322;000000000000850194;205/45 R 17 SA37 88Y;2.000;1400.00;0.00;1PA1;0016;ZTAN;0004383721;2301728115;;;;;
0096332521;000010;ZZBN;20240423;1000;N1;998-9;CLP;1000;M;C;;;20240423;000000000001000478;175/65 R 14 Z-506 STUD 86T XL TL;2.000;1400.00;0.00;1PA1;0016;ZTAN;0004413788;2302074408;;;;;
0096174540;000010;ZZBN;20240111;1000;N1;998-9;CLP;1000;M;C;;;20240111;000000000000856209;205/50 R 17 SA37 93W;1.000;700.00;0.00;1PA1;0016;ZTAN;0004310298;2300537625;;;;;
0096239659;000010;ZZAM;20240222;1000;N1;14043079-K;CLP;1000;M;C;;;20240222;000000000000964988;175/65 R 14 Z-108 82H TL;2.000;700.00;0.00;1PA1;0016;ZTAN;0004353742;2301195409;;;;;
0096287014;000010;ZZBN;20240325;1000;N1;998-9;CLP;1000;M;C;;;20240325;000000000000754790;SMF 56219 62AH 550CCA;1.000;700.00;0.00;1PA1;0019;ZTAN;0004384731;2338000004;;;;;
0096341184;000010;ZZAM;20240426;1000;N1;888-5;CLP;1000;M;C;;;20240426;000000000000835072;SMF 105D31R 90AH 750CCA;1.000;700.00;0.00;1PA1;0019;ZTAN;0004419656;2302040402;;;;;
0096174056;000010;ZZBN;20240111;1000;N1;998-9;CLP;1000;M;C;;;20240111;000000000000964988;175/65 R 14 Z-108 82H TL;4.000;1600.00;0.00;1PA1;0016;ZTAN;0004310039;2301195409;;;;;
0096175253;000010;ZZAM;20240112;1000;N1;4919963-5;CLP;1000;M;C;;;20240112;000000000000964990;175/70 R 14 Z-108 84T TL;4.000;1600.00;0.00;1PA1;0016;ZTAN;0004310907;2300537611;;;;;
0096182006;000010;ZZBN;20240117;1000;N1;998-9;CLP;1000;M;C;;;20240117;000000000000964988;175/65 R 14 Z-108 82H TL;4.000;1600.00;0.00;1PA1;0016;ZTAN;0004315483;2301195409;;;;;
0096185668;000010;ZZBN;20240119;1000;N1;998-9;CLP;1000;M;C;;;20240119;000000000000964988;175/65 R 14 Z-108 82H TL;4.000;1600.00;0.00;1PA1;0016;ZTAN;0004318023;2301195409;;;;;
0096189316;000010;ZZBN;20240122;1000;N1;998-9;CLP;1000;M;C;;;20240122;000000000000964988;175/65 R 14 Z-108 82H TL;4.000;1600.00;0.00;1PA1;0016;ZTAN;0004320507;2301195409;;;;;
0096194944;000010;ZZBN;20240125;1000;N1;998-9;CLP;1000;M;C;;;20240125;000000000000964988;175/65 R 14 Z-108 82H TL;4.000;1600.00;0.00;1PA1;0016;ZTAN;0004324328;2301195409;;;;;
0096210009;000010;ZZBN;20240201;1000;N1;998-9;CLP;1000;M;C;;;20240201;000000000000964988;175/65 R 14 Z-108 82H TL;4.000;1600.00;0.00;1PA1;0016;ZTAN;0004332539;2301195409;;;;;
0096214568;000010;ZZBN;20240205;1000;N1;998-9;CLP;1000;M;C;;;20240205;000000000000964988;175/65 R 14 Z-108 82H TL;4.000;1600.00;0.00;1PA1;0016;ZTAN;0004335952;2301195409;;;;;
0096234333;000010;ZZBN;20240220;1000;N1;888-5;CLP;1000;M;C;;;20240220;000000000000103574;500 R 12 C CR868 8PR TL WST;4.000;1600.00;0.00;1PA1;0016;ZTAN;0004350204;2200255327;;;;;
0096240315;000010;ZZBN;20240223;1000;N1;998-9;CLP;1000;M;C;;;20240223;000000000000964988;175/65 R 14 Z-108 82H TL;4.000;1600.00;0.00;1PA1;0016;ZTAN;0004354224;2301195409;;;;;
